id;nom_produit;description_produit;prix_produit;image_produit
1;ozone lest yet;tavern;31954;scared yearningly consequently
2;knee rudely;ligula who mystify;27077;sticky woefully
3;through gee;maid next;27991;incidentally whose justify
4;excitable;family pish flesh;18692;whoa light proselytize
5;manhandle;psst;30344;overdevelop
6;subdivide inside;gymnastics;22271;boost yippee soulmate
7;phooey as webpage;before arrogantly;26093;kookily quintessential anonymise
8;webmail medium;awkward that;8151;snarling than
9;unbearably so;vacantly;25118;power
10;pish;opt velodrome;16915;behind crunch
